timestamp,delta_t_ms,x1_raw,x2_raw,x1_corrected,x2_corrected,differential,processed
2026-02-27T17:17:28.195506,0.000,-9.6160,-21.6360,-2.6294,-0.6911,-1.9382,0.0000
2026-02-27T17:17:28.246155,50.649,-12.0200,-19.2320,-5.0334,1.7128,-6.7462,0.0000
2026-02-27T17:17:28.258353,12.198,-9.6160,-19.2320,-2.6294,1.7128,-4.3422,0.0000
2026-02-27T17:17:28.298801,40.448,-10.8180,-18.0300,-3.8314,2.9148,-6.7462,0.0000
2026-02-27T17:17:28.348821,50.020,-7.2120,-20.4340,-0.2254,0.5109,-0.7362,0.0000
2026-02-27T17:17:28.366197,17.376,-10.8180,-20.4340,-3.8314,0.5109,-4.3422,0.0000
2026-02-27T17:17:28.397349,31.152,-10.8180,-22.8380,-3.8314,-1.8932,-1.9382,0.0000
2026-02-27T17:17:28.447998,50.649,-12.0200,-19.2320,-5.0334,1.7128,-6.7462,0.0000
2026-02-27T17:17:28.464002,16.004,-12.0200,-21.6360,-5.0334,-0.6911,-4.3422,0.0000
2026-02-27T17:17:28.495933,31.931,-9.6160,-20.4340,-2.6294,0.5109,-3.1402,0.0000
2026-02-27T17:17:28.546777,50.844,-7.2120,-21.6360,-0.2254,-0.6911,0.4658,0.0000
2026-02-27T17:17:28.596708,49.931,-13.2220,-22.8380,-6.2354,-1.8932,-4.3422,0.0000
2026-02-27T17:17:28.612062,15.354,-10.8180,-21.6360,-3.8314,-0.6911,-3.1402,0.0000
2026-02-27T17:17:28.649227,37.165,-10.8180,-22.8380,-3.8314,-1.8932,-1.9382,0.0000
2026-02-27T17:17:28.696673,47.446,-10.8180,-22.8380,-3.8314,-1.8932,-1.9382,0.0000
2026-02-27T17:17:28.713412,16.739,-4.8080,-21.6360,2.1786,-0.6911,2.8698,0.0000
2026-02-27T17:17:28.749418,36.006,-9.6160,-24.0400,-2.6294,-3.0952,0.4658,0.0000
2026-02-27T17:17:28.795006,45.588,-12.0200,-21.6360,-5.0334,-0.6911,-4.3422,0.0000
2026-02-27T17:17:28.796460,1.454,-7.2120,-20.4340,-0.2254,0.5109,-0.7362,0.0000
2026-02-27T17:17:28.846318,49.858,-10.8180,-21.6360,-3.8314,-0.6911,-3.1402,0.0000
2026-02-27T17:17:28.896535,50.217,-12.0200,-22.8380,-5.0334,-1.8932,-3.1402,0.0000
2026-02-27T17:17:28.945713,49.178,-9.6160,-21.6360,-2.6294,-0.6911,-1.9382,0.0000
2026-02-27T17:17:28.947267,1.554,34.8580,-12.0200,41.8446,8.9248,32.9198,0.0000
2026-02-27T17:17:28.995223,47.956,69.7160,-9.6160,76.7026,11.3289,65.3738,10.2800
2026-02-27T17:17:29.047277,52.054,84.1400,-12.0200,91.1266,8.9248,82.2018,25.2227
2026-02-27T17:17:29.048802,1.525,82.9380,-13.2220,89.9246,7.7229,82.2018,35.8154
2026-02-27T17:17:29.095232,46.430,81.7360,-10.8180,88.7226,10.1269,78.5958,41.7271
2026-02-27T17:17:29.197735,102.503,90.1500,-10.8180,97.1366,10.1269,87.0098,44.8523
2026-02-27T17:17:29.199547,1.812,98.5640,-13.2220,105.5506,7.7229,97.8278,49.2124
2026-02-27T17:17:29.201391,1.844,96.1600,-12.0200,103.1466,8.9248,94.2218,54.8607
2026-02-27T17:17:29.297276,95.885,106.9780,-12.0200,113.9646,8.9248,105.0398,60.9185
2026-02-27T17:17:29.298847,1.571,104.5740,-13.2220,111.5606,7.7229,103.8378,67.8188
2026-02-27T17:17:29.345889,47.042,103.3720,-12.0200,110.3586,8.9248,101.4338,71.4395
2026-02-27T17:17:29.395099,49.210,110.5840,-12.0200,117.5706,8.9248,108.6458,73.3848
