timestamp,delta_t_ms,x1_raw,x2_raw,x1_corrected,x2_corrected,differential,processed
2026-02-27T17:18:45.195787,0.000,-6.0100,-21.6360,0.9766,-0.6911,1.6678,0.0000
2026-02-27T17:18:45.246661,50.874,-9.6160,-18.0300,-2.6294,2.9148,-5.5442,0.0000
2026-02-27T17:18:45.247553,0.892,-7.2120,-19.2320,-0.2254,1.7128,-1.9382,0.0000
2026-02-27T17:18:45.296507,48.954,-6.0100,-21.6360,0.9766,-0.6911,1.6678,0.0000
2026-02-27T17:18:45.345945,49.438,-8.4140,-20.4340,-1.4274,0.5109,-1.9382,0.0000
2026-02-27T17:18:45.346717,0.772,-4.8080,-21.6360,2.1786,-0.6911,2.8698,0.0000
2026-02-27T17:18:45.395985,49.268,-8.4140,-21.6360,-1.4274,-0.6911,-0.7362,0.0000
2026-02-27T17:18:45.445350,49.365,-8.4140,-20.4340,-1.4274,0.5109,-1.9382,0.0000
2026-02-27T17:18:45.446518,1.168,-10.8180,-20.4340,-3.8314,0.5109,-4.3422,0.0000
2026-02-27T17:18:45.496946,50.428,-4.8080,-21.6360,2.1786,-0.6911,2.8698,0.0000
2026-02-27T17:18:45.546542,49.596,-4.8080,-19.2320,2.1786,1.7128,0.4658,0.0000
2026-02-27T17:18:45.597958,51.416,-9.6160,-19.2320,-2.6294,1.7128,-4.3422,0.0000
2026-02-27T17:18:45.599170,1.212,-6.0100,-19.2320,0.9766,1.7128,-0.7362,0.0000
2026-02-27T17:18:45.646849,47.679,-9.6160,-24.0400,-2.6294,-3.0952,0.4658,0.0000
2026-02-27T17:18:45.697099,50.250,-7.2120,-21.6360,-0.2254,-0.6911,0.4658,0.0000
2026-02-27T17:18:45.698148,1.049,-6.0100,-21.6360,0.9766,-0.6911,1.6678,0.0000
2026-02-27T17:18:45.745358,47.210,-3.6060,-20.4340,3.3806,0.5109,2.8698,0.0000
2026-02-27T17:18:45.796195,50.837,-9.6160,-20.4340,-2.6294,0.5109,-3.1402,0.0000
2026-02-27T17:18:45.797248,1.053,-6.0100,-19.2320,0.9766,1.7128,-0.7362,0.0000
2026-02-27T17:18:45.845851,48.603,-7.2120,-20.4340,-0.2254,0.5109,-0.7362,0.0000
2026-02-27T17:18:45.895910,50.059,-7.2120,-20.4340,-0.2254,0.5109,-0.7362,0.0000
2026-02-27T17:18:45.948813,52.903,-4.8080,-18.0300,2.1786,2.9148,-0.7362,0.0000
2026-02-27T17:18:45.950399,1.586,-4.8080,-18.0300,2.1786,2.9148,-0.7362,0.0000
2026-02-27T17:18:45.996476,46.077,-10.8180,-20.4340,-3.8314,0.5109,-4.3422,0.0000
2026-02-27T17:18:46.046481,50.005,25.2420,-16.8280,32.2286,4.1168,28.1118,0.0000
2026-02-27T17:18:46.047742,1.261,56.4940,-14.4240,63.4806,6.5209,56.9598,0.0000
2026-02-27T17:18:46.100966,53.224,67.3120,-13.2220,74.2986,7.7229,66.5758,21.6742
2026-02-27T17:18:46.146336,45.370,75.7260,-10.8180,82.7126,10.1269,72.5858,29.6641
2026-02-27T17:18:46.147199,0.863,85.3420,-12.0200,92.3286,8.9248,83.4038,35.3325
2026-02-27T17:18:46.195971,48.772,98.5640,-12.0200,105.5506,8.9248,96.6258,41.4204
